"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"2201847","319877","1051","56.3","1","1","","","","",""
"2201845","319877","1002","1.28","1","1","","","","",""
"2201846","319877","1004","19.0","1","1","","","","",""
"2201844","319877","1007","1.98","1","1","","","","",""
"2201852","319878","1091","188.0","1","1","","","","",""
"2201851","319878","1101","1.21","1","1","","","","",""
"2201853","319878","1092","326.0","1","1","","","","",""
"2201848","319878","1087","46.0","1","1","","","","",""
"2201854","319878","1093","446.0","1","1","","","","",""
"2201850","319878","1090","75.9","1","1","","","","",""
"2201849","319878","1089","2.33","1","1","","","","",""
"2201856","319878","1098","0.38","1","1","","","","",""
"2201855","319878","1095","1.5","1","1","","","","",""
"2201860","319882","1051","56.1","1","1","","","","",""
"2201857","319882","1007","1.99","1","1","","","","",""
"2201858","319882","1002","1.29","1","1","","","","",""
"2201859","319882","1004","18.7","1","1","","","","",""
"2201861","319883","1170","0.37","1","1","","","","",""
"2201866","319884","1101","1.2","1","1","","","","",""
"2201862","319884","1093","444.0","1","1","","","","",""
"2201870","319884","1087","57.0","1","1","","","","",""
"2201867","319884","1090","81.4","1","1","","","","",""
"2201864","319884","1092","327.0","1","1","","","","",""
"2201869","319884","1098","0.394","1","1","","","","",""
"2201865","319884","1091","190.0","1","1","","","","",""
"2201868","319884","1089","2.96","1","1","","","","",""
"2201863","319884","1095","1.47","1","1","","","","",""
"2201874","319892","1051","58.2","1","1","","","","",""
"2201873","319892","1004","16.6","1","1","","","","",""
"2201872","319892","1002","1.25","1","1","","","","",""
"2201871","319892","1007","2.02","1","1","","","","",""
"2201880","319893","1093","387.0","1","1","","","","",""
"2201878","319893","1091","179.0","1","1","","","","",""
"2201879","319893","1092","320.0","1","1","","","","",""
"2201876","319893","1090","69.8","1","1","","","","",""
"2201877","319893","1101","1.18","1","1","","","","",""
"2201881","319893","1095","1.42","1","1","","","","",""
"2201875","319893","1089","2.72","1","1","","","","",""
"2201883","319893","1087","46.0","1","1","","","","",""
"2201882","319893","1098","0.382","1","1","","","","",""
"2201887","319899","1051","57.6","1","1","","","","",""
"2201885","319899","1002","1.1","1","1","","","","",""
"2201884","319899","1007","1.98","1","1","","","","",""
"2201886","319899","1004","19.1","1","1","","","","",""
"2201888","319900","1089","2.07","1","1","","","","",""
"2201893","319900","1090","68.5","1","1","","","","",""
"2201894","319900","1095","1.28","1","1","","","","",""
"2201892","319900","1091","143.0","1","1","","","","",""
"2201889","319900","1098","0.309","1","1","","","","",""
"2201891","319900","1101","0.95","1","1","","","","",""
"2201895","319900","1093","489.0","1","1","","","","",""
"2201896","319900","1092","252.0","1","1","","","","",""
"2201890","319900","1087","38.0","1","1","","","","",""
"2201917","319906","1264","0.01","1","1","","","","",""
"2201912","319906","1301","0.022","1","1","","","","",""
"2201928","319906","1335","0.0","1","1","","","","",""
"2201904","319906","1266","0.771","1","1","","","","",""
"2201907","319906","1272","0.0","1","1","","","","",""
"2201925","319906","1260","0.0","1","1","","","","",""
"2201905","319906","1411","0.0","1","1","","","","",""
"2201938","319906","1299","0.003","1","1","","","","",""
"2201908","319906","1278","0.0","1","1","","","","",""
"2201923","319906","1311","0.003","1","1","","","","",""
"2201920","319906","1271","0.006","1","1","","","","",""
"2201910","319906","1259","0.0","1","1","","","","",""
"2201902","319906","1265","1.76","1","1","","","","",""
"2201931","319906","1303","0.0","1","1","","","","",""
"2201933","319906","1276","0.0","1","1","","","","",""
"2201911","319906","1273","0.044","1","1","","","","",""
"2201906","319906","1280","0.0","1","1","","","","",""
"2201919","319906","1304","0.006","1","1","","","","",""
"2201934","319906","1414","0.0","1","1","","","","",""
"2201930","319906","1333","0.0","1","1","","","","",""
"2201901","319906","1315","5.03","1","1","","","","",""
"2201898","319906","2012","0.048","1","1","","","","",""
"2201924","319906","1404","0.725","1","1","","","","",""
"2201903","319906","1267","0.077","1","1","","","","",""
"2201936","319906","1305","0.0","1","1","","","","",""
"2201909","319906","1334","0.0","1","1","","","","",""
"2201921","319906","1313","0.005","1","1","","","","",""
"2201899","319906","2014","0.0","1","1","","","","",""
"2201927","319906","1262","0.0","1","1","","","","",""
"2201914","319906","1300","0.014","1","1","","","","",""
"2201929","319906","1263","0.0","1","1","","","","",""
"2201926","319906","1261","0.0","1","1","","","","",""
"2201915","319906","1306","0.013","1","1","","","","",""
"2201913","319906","1314","0.018","1","1","","","","",""
"2201935","319906","1406","0.0","1","1","","","","",""
"2201932","319906","2019","0.0","1","1","","","","",""
"2201916","319906","1321","0.013","1","1","","","","",""
"2201900","319906","1316","8.56","1","1","","","","",""
"2201897","319906","2009","0.0","1","1","","","","",""
"2201918","319906","1323","0.007","1","1","","","","",""
"2201922","319906","1312","0.0","1","1","","","","",""
"2201937","319906","1405","0.0","1","1","","","","",""
"2201939","319907","1009","8.2","1","1","","","","",""
"2201940","319908","1007","1.99","1","1","","","","",""
"2201942","319908","1004","18.2","1","1","","","","",""
"2201943","319908","1051","56.8","1","1","","","","",""
"2201941","319908","1002","1.28","1","1","","","","",""
"2201944","319909","1177","51.0","1","1","","","","",""
"2201945","319910","1170","0.34","1","1","","","","",""
"2201946","319911","1103","0.0","1","1","","","","",""
"2201954","319912","1095","1.45","1","1","","","","",""
"2201948","319912","1089","2.7","1","1","","","","",""
"2201947","319912","1098","0.376","1","1","","","","",""
"2201949","319912","1090","73.1","1","1","","","","",""
"2201953","319912","1093","428.0","1","1","","","","",""
"2201955","319912","1087","51.0","1","1","","","","",""
"2201950","319912","1101","1.15","1","1","","","","",""
"2201952","319912","1092","317.0","1","1","","","","",""
"2201951","319912","1091","184.0","1","1","","","","",""
"2201956","319913","1166","0.14","1","1","","","","",""
"2201957","319914","1167","1.09","1","1","","","","",""
"2201958","319915","1079","5.7","1","1","","","","",""
"2201959","319916","1165","0.17","1","1","","","","",""
"2201960","319917","1175","0.15","1","1","","","","",""
"2201964","319918","1123","258.0","1","1","","","","",""
"2201963","319918","1107","12.0","1","1","","","","",""
"2201961","319918","1120","3.0","1","1","","","","",""
"2201965","319918","1122","0.0","1","1","","","","",""
"2201962","319918","1108","0.0","1","1","","","","",""
"2201970","319919","1127","2.38","1","1","","","","",""
"2201966","319919","1125","0.35","1","1","","","","",""
"2201969","319919","1126","11.9","1","1","","","","",""
"2201972","319919","1109","1.56","1","1","","","","",""
"2201967","319919","1128","0.0","1","1","","","","",""
"2201968","319919","1129","0.0","1","1","","","","",""
"2201971","319919","1130","0.0","1","1","","","","",""
"2201973","319919","1131","0.0","1","1","","","","",""
"2201974","319920","1162","0.0","1","1","","","","",""
"2201984","319926","1260","0.0","1","1","","","","",""
"2202007","319926","1265","1.71","1","1","","","","",""
"2201981","319926","1299","0.003","1","1","","","","",""
"2201979","319926","1304","0.005","1","1","","","","",""
"2201987","319926","1335","0.0","1","1","","","","",""
"2201976","319926","2014","0.0","1","1","","","","",""
"2202002","319926","2019","0.0","1","1","","","","",""
"2202004","319926","1323","0.008","1","1","","","","",""
"2202008","319926","1404","0.742","1","1","","","","",""
"2202006","319926","1315","4.87","1","1","","","","",""
"2201986","319926","1262","0.0","1","1","","","","",""
"2202014","319926","1300","0.012","1","1","","","","",""
"2202001","319926","1272","0.0","1","1","","","","",""
"2201990","319926","1303","0.0","1","1","","","","",""
"2202012","319926","1301","0.044","1","1","","","","",""
"2201995","319926","1405","0.0","1","1","","","","",""
"2201988","319926","1263","0.0","1","1","","","","",""
"2202013","319926","1314","0.015","1","1","","","","",""
"2201975","319926","2012","0.046","1","1","","","","",""
"2201998","319926","1312","0.0","1","1","","","","",""
"2201991","319926","1276","0.0","1","1","","","","",""
"2201978","319926","1414","0.0","1","1","","","","",""
"2202016","319926","1321","0.011","1","1","","","","",""
"2201983","319926","1259","0.0","1","1","","","","",""
"2201977","319926","2009","0.0","1","1","","","","",""
"2201982","319926","1311","0.003","1","1","","","","",""
"2202003","319926","1271","0.006","1","1","","","","",""
"2202009","319926","1266","0.741","1","1","","","","",""
"2201993","319926","1406","0.0","1","1","","","","",""
"2202015","319926","1306","0.012","1","1","","","","",""
"2201985","319926","1261","0.0","1","1","","","","",""
"2201999","319926","1411","0.0","1","1","","","","",""
"2201996","319926","1334","0.0","1","1","","","","",""
"2202000","319926","1280","0.0","1","1","","","","",""
"2202011","319926","1273","0.052","1","1","","","","",""
"2201989","319926","1333","0.0","1","1","","","","",""
"2201994","319926","1305","0.0","1","1","","","","",""
"2201980","319926","1313","0.004","1","1","","","","",""
"2202005","319926","1316","8.3","1","1","","","","",""
"2201992","319926","1264","0.009","1","1","","","","",""
"2201997","319926","1278","0.0","1","1","","","","",""
"2202010","319926","1267","0.072","1","1","","","","",""
"2202017","319927","1009","8.0","1","1","","","","",""
"2202021","319928","1051","57.3","1","1","","","","",""
"2202020","319928","1004","18.0","1","1","","","","",""
"2202018","319928","1007","2.02","1","1","","","","",""
"2202019","319928","1002","1.26","1","1","","","","",""
"2202022","319929","1177","53.0","1","1","","","","",""
"2202030","319930","1101","1.21","1","1","","","","",""
"2202028","319930","1089","2.33","1","1","","","","",""
"2202026","319930","1087","46.0","1","1","","","","",""
"2202024","319930","1093","406.0","1","1","","","","",""
"2202029","319930","1090","70.4","1","1","","","","",""
"2202031","319930","1091","181.0","1","1","","","","",""
"2202027","319930","1098","0.396","1","1","","","","",""
"2202023","319930","1095","1.45","1","1","","","","",""
"2202025","319930","1092","315.0","1","1","","","","",""
"2202032","319931","1166","0.12","1","1","","","","",""
"2202033","319932","1167","1.03","1","1","","","","",""
"2202035","319933","1013","0.0","1","1","","","","",""
"2202036","319933","1011","0.0","1","1","","","","",""
"2202038","319933","1010","0.37","1","1","","","","",""
"2202034","319933","1014","0.0","1","1","","","","",""
"2202039","319933","1075","0.0","1","1","","","","",""
"2202037","319933","1012","0.3","1","1","","","","",""
"2202040","319934","1079","5.4","1","1","","","","",""
"2202041","319935","1165","0.16","1","1","","","","",""
"2202042","319936","1175","0.13","1","1","","","","",""
"2202045","319937","1129","0.0","1","1","","","","",""
"2202049","319937","1109","1.49","1","1","","","","",""
"2202046","319937","1126","11.7","1","1","","","","",""
"2202048","319937","1130","0.0","1","1","","","","",""
"2202044","319937","1128","0.0","1","1","","","","",""
"2202047","319937","1127","2.47","1","1","","","","",""
"2202043","319937","1125","0.36","1","1","","","","",""
"2202050","319937","1131","0.0","1","1","","","","",""
"2202051","319938","1162","0.0","1","1","","","","",""
"2202068","319944","1323","0.008","1","1","","","","",""
"2202062","319944","1267","0.074","1","1","","","","",""
"2202074","319944","1259","0.0","1","1","","","","",""
"2202090","319944","1272","0.0","1","1","","","","",""
"2202086","319944","1333","0.0","1","1","","","","",""
"2202077","319944","1262","0.0","1","1","","","","",""
"2202080","319944","1305","0.0","1","1","","","","",""
"2202085","319944","1303","0.0","1","1","","","","",""
"2202073","319944","1313","0.003","1","1","","","","",""
"2202057","319944","1316","8.44","1","1","","","","",""
"2202075","319944","1260","0.0","1","1","","","","",""
"2202063","319944","1273","0.041","1","1","","","","",""
"2202084","319944","2019","0.0","1","1","","","","",""
"2202064","319944","1314","0.016","1","1","","","","",""
"2202081","319944","1406","0.0","1","1","","","","",""
"2202071","319944","1299","0.004","1","1","","","","",""
"2202052","319944","2012","0.047","1","1","","","","",""
"2202072","319944","1311","0.003","1","1","","","","",""
"2202076","319944","1261","0.0","1","1","","","","",""
"2202093","319944","1278","0.0","1","1","","","","",""
"2202061","319944","1404","0.73","1","1","","","","",""
"2202055","319944","1321","0.014","1","1","","","","",""
"2202058","319944","1315","5.0","1","1","","","","",""
"2202060","319944","1266","0.751","1","1","","","","",""
"2202089","319944","1280","0.0","1","1","","","","",""
"2202056","319944","1263","0.0","1","1","","","","",""
"2202083","319944","1276","0.0","1","1","","","","",""
"2202091","319944","1411","0.0","1","1","","","","",""
"2202069","319944","1304","0.008","1","1","","","","",""
"2202082","319944","1414","0.0","1","1","","","","",""
"2202054","319944","2009","0.0","1","1","","","","",""
"2202065","319944","1300","0.013","1","1","","","","",""
"2202088","319944","1335","0.0","1","1","","","","",""
